噜咪ID,体型,活动地图,关键特质,行为习惯,噜咪名
107101,,,,,火蜥蜴
107201,,,,,电蜥蜴
107301,,,,,草蜥蜴
107401,,,,,忍者冰龟
107501,,,,,忍者火龟
107601,,,,,忍者翼龟
107701,,,,,忍者电龟
107801,,,,,筋肉虎
107901,,,,,火龙宝宝
108001,,,,,青龙
108101,,,,,白虎
108201,,,,,朱雀
108301,,,,,玄武
108401,,,,,小火喵
108501,,,,,小叶鼠
108601,,,,,水母贝贝
108701,,,,,响尾眼镜蛇
108704,,,,,响尾眼镜蛇·异
108801,,,,,石猩猩
108901,,,,,花牌孔雀
109001,,,,,双刃炎猫
109101,,,,,隐叶鼠侠
109201,,,,,水母奈奈
109301,,,,,吐墨乌贼
109401,,,,,火炎莱姆
109501,,,,,水鳍莱姆
109601,,,,,冰晶莱姆
109701,,,,,草冠莱姆
109801,,,,,电鸣莱姆
109901,,,,,土脉莱姆
110001,,,,,暗蚀莱姆
110101,,,,,光辉莱姆
110201,,,,,风暴狮鹫
110301,,,,,牛筋丸
110401,,,,,悍角牛
110404,,,,,悍角牛·异
110501,,,,,猫鲨
110601,,,,,叶刃猫鲨
110701,,,,,鲸咚咚
110801,,,,,喵鲨
110901,,,,,弹簧跳鼠
110904,,,,,弹簧跳鼠·异
111001,,,,,发牌雀圣
111004,,,,,发牌雀圣·异
111101,,,,,小花鹿
111201,,,,,森灵龙
111301,,,,,伸缩鹿
111401,,,,,大盘鸡
111501,,,,,炽焰猫鲨
111601,,,,,霹雳猫鲨
111701,,,,,飞行猫鲨
111801,,,,,许愿灯象
111901,,,,,梅花鹿
112001,,,,,水龙宝宝
112101,,,,,只鼬宝宝
112201,,,,,魔影只鼬
112301,,,,,吓吓团
112401,,,,,喷喷蟹
112501,,,,,石角龟
112601,,,,,爆呆鸟
112604,,,,,爆呆鸟·异
112701,,,,,烈焰鸟
112801,,,,,草龙宝宝
112901,,,,,刺啦汪
113001,,,,,茄子海象
113101,,,,,炽焰马
113201,,,,,灰烬战马
113301,,,,,球蝌蚪
113401,,,,,牛油果鸟
113501,,,,,鸡仔面
113601,,,,,云朵毛毛
113701,,,,,云朵蛹
113801,,,,,云朵蝶
113804,,,,,云朵蝶·异
113901,,,,,流星蝶
114001,,,,,冰狼崽
114101,,,,,冰晶狼
114201,,,,,冰原战狼
114202,,,,,冰霜魔狼
114301,,,,,海宝宝
114401,,,,,晴天娃娃
114501,,,,,晴天精灵
114502,,,,,3D晴天精灵
114601,,,,,晴天舞姬
114701,,,,,光兔宝
114801,,,,,光兔
114901,,,,,耀光兔
115001,,,,,暗兔宝
115101,,,,,暗兔
115201,,,,,暗影兔
115204,,,,,暗影兔·异
115301,,,,,口哨鸦
115401,,,,,偷偷
115501,,,,,宝剑海獭
115601,,,,,蓝拳海獭
115701,,,,,粉拳海獭
115801,,,,,战甲海獭
115901,,,,,钢盔海獭
116001,,,,,骑士铠
116101,,,,,鼠师傅
116201,,,,,草菇虫
116301,,,,,光环蛇
116401,,,,,黄焖鸡
116501,,,,,噼啪蛋
116601,,,,,招财猫
116701,,,,,甜梦
116801,,,,,梦游羊
116901,,,,,呼呼兔
117001,,,,,浪花蝓
117101,,,,,海奔奔
117201,,,,,土蜥蜴
117301,,,,,水蜥蜴
117401,,,,,科莫多
117501,,,,,摸鱼雪貂
117601,,,,,茸茸狮
117701,,,,,火蓬猪
117801,,,,,诅咒猴
117901,,,,,闪光鸡仔
118001,,,,,小闪星
118004,,,,,小闪星·异
118101,,,,,拳拳袋鼠
118201,,,,,搏击袋鼠
118204,,,,,搏击袋鼠·异
118301,,,,,水龙
118401,,,,,暗龙
118501,,,,,忍莱德
118601,,,,,婴儿贝
118701,,,,,汉堡喵
118801,,,,,三文鱼兔
118901,,,,,草龙
119001,,,,,牛仔哞哞
119101,,,,,公主蜂
119201,,,,,海精灵
119204,,,,,海精灵·异
119301,,,,,海天使
119401,,,,,矮蒜鸟
119501,,,,,蒜鸟
119601,,,,,水牛宝宝
119701,,,,,莽莽水牛
119801,,,,,木棍人
119901,,,,,耐氪鲨
120001,,,,,仙人掌大象
120101,,,,,鳄鱼轰炸机
120201,,,,,天鹅轰炸机
120301,,,,,轮胎青蛙
120401,,,,,大脚树猿
120501,,,,,蕉蕉猩
120601,,,,,卡布奇诺刺客
120701,,,,,卡布奇诺小姐
120704,,,,,卡布奇诺小姐·异
120801,,,,,含苞
120901,,,,,绽放
120904,,,,,绽放·异
121001,,,,,战螂
121004,,,,,战螂·异
121101,,,,,战螂宝宝
121201,,,,,火龙果
121301,,,,,果火龙
121304,,,,,果火龙·异
121401,,,,,龙裹火
121501,,,,,世界美食-薯条
121601,,,,,月轮蛇
121701,,,,,闪电猪
121801,,,,,冰龙宝宝
121901,,,,,锁鼠
122001,,,,,溜溜獴
122101,,,,,黑脸咩
122201,,,,,闪电陆行鸟
122301,,,,,陆行鸟
122401,,,,,热狗
122501,,,,,酋长羊驼
122601,,,,,绿绒猫
122701,,,,,绿绒胖猫
122704,,,,,绿绒胖猫·异
122801,,,,,尖牙虎
122901,,,,,冰牙豹
123001,,,,,雪人兔
123101,,,,,冰壳龟
123201,,,,,岩刺猫鲨
123301,,,,,泡泡乌贼
123401,,,,,头铁牛
123404,,,,,头铁牛·异
123501,,,,,钢龙宝宝
123601,,,,,钢龙
123701,,,,,电龙宝宝
123801,,,,,螳螂虾
123901,,,,,三彩鹿
124001,,,,,六曜鹿
124101,,,,,电音雀
124104,,,,,电音雀·异
124201,,,,,电龙
124301,,,,,灵光鸟
124401,,,,,灯光鱼
124501,,,,,夜咩咩
124601,,,,,玉子烧兔
124701,,,,,卷卷寿司兔
124801,,,,,小飞鼠
124901,,,,,绯花鹿
125001,,,,,妙妙
125101,,,,,缇可
125201,,,,,希希
125301,,,,,富贵
125401,,,,,魔芋
125501,,,,,咪可
125601,,,,,飞刀鸵鸟
125604,,,,,飞刀鸵鸟·异
125701,,,,,绶金狮王
125801,,,,,魔魔猪
125804,,,,,魔魔猪·异
125901,,,,,巨岩角龟
126001,,,,,冠军龙
126101,,,,,刀马
126201,,,,,笑脸鱼
126301,,,,,粉扇雀圣
126304,,,,,粉扇雀圣·异
126401,,,,,厚礼蟹
126501,,,,,
126601,,,,,飞鱼宝宝
126701,,,,,乌云刺猬
126801,,,,,虹桥鹿
126901,,,,,星云贵宾
127001,,,,,食木沙鼠
127101,,,,,龙虾
127201,,,,,海龙王
127301,,,,,铁甲土犀
127401,,,,,小塔蟹
127501,,,,,粉樱樱
127601,,,,,粉樱螈
127604,,,,,粉樱螈·异
127701,,,,,灵樱龙
127801,,,,,长牙虎
127901,,,,,雪豹
128001,,,,,冰红猹
128101,,,,,詹皇猩
128201,,,,,香蕉君
128301,,,,,保国马
128401,,,,,赋能鸽
128501,,,,,桃心舞猴
128601,,,,,霹雳羽龙
128701,,,,,钢甲飞龙
128801,,,,,冰龙
128901,,,,,霜刃冰龙
129001,,,,,弥桃猴
129101,,,,,堡垒蟹
129201,,,,,
129301,,,,,
129401,,,,,
129501,,,,,
129601,,,,,
129701,,,,,
129801,,,,,
129901,,,,,
130001,,,,,石雕树懒
130101,,,,,补一个水星
130201,,,,,锯齿翻车鱼
130301,,,,,猞猁宝宝
130401,,,,,晶刃猞猁
130404,,,,,晶刃猞猁·异
130501,,,,,鲨碧
130601,,,,,打工牛
130701,,,,,打工马
130801,,,,,少女贝
130901,,,,,伞鸟
131001,,,,,香鱿哥
131101,,,,,猴弟
131201,,,,,猴弟二阶
131301,,,,,猴弟三阶
131401,,,,,六尾狐
131501,,,,,九尾狐
131504,,,,,3D九尾狐
131601,,,,,鸽了鸽了
131701,,,,,眯眼狐
131801,,,,,纳尼甲
131901,,,,,小木马
132001,,,,,双鸭梨
132101,,,,,双子鸭
132201,,,,,双子三阶
132301,,,,,木秤鸟
132401,,,,,衡星鸮
132404,,,,,衡星鸮·异
132501,,,,,裁星天秤
132601,,,,,水瓶一阶
132701,,,,,水瓶二阶
132801,,,,,水瓶三阶
132901,,,,,白羊一阶
133001,,,,,白羊二阶
133101,,,,,白羊二阶
133201,,,,,狮子一阶
133301,,,,,狮子二阶
133401,,,,,灼星狮子
133501,,,,,飞矢驹
133601,,,,,星弦马
133701,,,,,猎星射手
133801,,,,,天蝎一阶
133901,,,,,天蝎二阶
134001,,,,,天蝎三阶
134101,,,,,双鱼一阶
134201,,,,,双鱼二阶
134301,,,,,双鱼三阶
134401,,,,,巨蟹一阶
134501,,,,,巨蟹二阶
134601,,,,,巨蟹三阶
134701,,,,,金牛一阶
134801,,,,,金牛二阶
134901,,,,,金牛三阶
135001,,,,,幼星苞
135101,,,,,星花灵
135104,,,,,星花灵·异
135201,,,,,捧星室女
135301,,,,,甩尾咩
135401,,,,,星海羯
135501,,,,,攀星摩羯
135601,,,,,刃齿虎
135701,,,,,猛犸象
135801,,,,,巨爪地懒
135901,,,,,莓果羊驼
136001,,,,,轮圈鼠
136101,,,,,睡梦蟹
136201,,,,,冒险菇
136301,,,,,
136401,,,,,疤面狮一阶
136501,,,,,疤面狮二阶
136601,,,,,疤面狮三阶
136701,,,,,
136801,,,,,
136901,,,,,
137001,,,,,可颂羊
137101,,,,,望星鱼
137201,,,,,蛋糕松鼠
137301,,,,,法棍鸡
137401,,,,,巴菲兔
137501,,,,,章鱼烧队
137601,,,,,三球达斯
137701,,,,,甜圈猫
137801,,,,,布小虎
137901,,,,,布虎二阶
138001,,,,,年兽虎 三阶
138101,,,,,零钱猪 1阶
138201,,,,,暴富猪 2阶
138301,,,,,大金猪 3阶
138401,,,,,纸灯鱼 1阶
138501,,,,,灯笼鱼 2阶
138601,,,,,安康鱼 3阶
138701,,,,,
138801,,,,,小锤兔 1阶
138901,,,,,大锤兔 2阶
139001,,,,,糖果蝠&苹果蝠
139101,,,,,小飞狗1阶
139201,,,,,幽浮狗2阶
139301,,,,,幽灵飞狗 3阶
139401,,,,,皮纳塔
139501,,,,,守护灵虎
139601,,,,,袜子精灵
139701,,,,,捣蛋饼干三个
139801,,,,,松果猫头鹰
139901,,,,,松树鹰
140001,,,,,驯鹿 三个
140101,,,,,驯鹿 三个
140201,,,,,驯鹿 三个
140301,,,,,水壶象
140401,,,,,浮水萍萍 1阶
140501,,,,,莲花露露 2阶
140601,,,,,
140701,,,,,
140801,,,,,
140901,,,,,
141001,,,,,
141101,,,,,
141201,,,,,
141301,,,,,冒险蜗牛
141401,,,,,莓团团
141501,,,,,飞叶鼠改
141601,,,,,叶隐鼠侠改
141701,,,,,鹰蛋宝
141801,,,,,赤羽鹰
141901,,,,,赤羽斗鹰
141903,,,,,雷霆神鹰
142001,,,,,三尾狐
142101,,,,,人人饼干
142201,,,,,饼干群众
142301,,,,,牙牙蝠
142401,,,,,捣蛋蝠
142501,,,,,暗翼镰蝠
142504,,,,,暗翼镰蝠·异
142601,,,,,小灯萤
142701,,,,,浮光萤
142801,,,,,绮彩萤
142804,,,,,绮彩萤·异
142901,,,,,烁光蝉一阶
143001,,,,,烁光蝉二阶
143101,,,,,刀马进化
143201,,,,,新增火山霸主1阶
143301,,,,,新增火山霸主2阶
143401,,,,,新增火山霸主3阶
143501,,,,,打工牛马
143601,,,,,莲花露露 3阶
143701,,,,,炮塔蟹
143704,,,,,炮塔蟹·异
